Symbol,Time,Open,High,Low,Last,Change,Volume,Open Int
ESH20,1/2/2020 13:38,3246,3246.25,3245.75,3246,0.25,993,N/A
ESH20,1/2/2020 13:37,3246.25,3246.25,3245.5,3245.75,-0.5,1407,N/A
ESH20,1/2/2020 13:36,3245.75,3246.75,3245.75,3246.25,0.5,1739,N/A
ESH20,1/2/2020 13:35,3245.75,3245.75,3245.5,3245.75,0.25,1218,N/A
ESH20,1/2/2020 13:34,3246,3246,3245.5,3245.5,-0.5,562,N/A
ESH20,1/2/2020 13:33,3245.5,3246,3245.5,3246,0.5,335,N/A
ESH20,1/2/2020 13:32,3245.25,3245.5,3245.25,3245.5,0.25,1281,N/A
ESH20,1/2/2020 13:31,3245.5,3245.5,3245.25,3245.25,-0.25,1327,N/A
ESH20,1/2/2020 13:30,3245.5,3246,3245.25,3245.5,0,1194,N/A
ESH20,1/2/2020 13:29,3246,3246.25,3245.5,3245.5,-0.5,1124,N/A
ESH20,1/2/2020 13:28,3246,3246.25,3246,3246,0,404,N/A
ESH20,1/2/2020 13:27,3245.5,3246,3245.25,3246,0.5,843,N/A
ESH20,1/2/2020 13:26,3245.5,3245.5,3245.25,3245.5,-0.25,771,N/A
ESH20,1/2/2020 13:25,3245.75,3246.25,3245.5,3245.75,0,2265,N/A
ESH20,1/2/2020 13:24,3245.25,3245.75,3245.25,3245.75,0.5,2481,N/A
ESH20,1/2/2020 13:23,3245,3245.5,3245,3245.25,0.25,370,N/A
ESH20,1/2/2020 13:22,3245,3245.75,3245,3245,-0.25,2356,N/A
ESH20,1/2/2020 13:21,3245.5,3245.5,3244.75,3245.25,0,2282,N/A
ESH20,1/2/2020 13:20,3244,3245.5,3243.75,3245.25,1.25,6268,N/A
ESH20,1/2/2020 13:19,3243.5,3244,3243.5,3244,0.5,1076,N/A
ESH20,1/2/2020 13:18,3243,3243.5,3243,3243.5,0.5,1157,N/A
ESH20,1/2/2020 13:17,3242.75,3243,3242.75,3243,0.25,544,N/A
ESH20,1/2/2020 13:16,3243.5,3243.5,3242.75,3242.75,-0.75,1742,N/A
ESH20,1/2/2020 13:15,3243.25,3243.5,3243.25,3243.5,0,1624,N/A
ESH20,1/2/2020 13:14,3243.25,3243.5,3243,3243.5,0.25,379,N/A
ESH20,1/2/2020 13:13,3243.25,3243.25,3242.75,3243.25,0,930,N/A
ESH20,1/2/2020 13:12,3243,3243.5,3243,3243.25,0,1021,N/A
ESH20,1/2/2020 13:11,3242.75,3243.25,3242.75,3243.25,0.75,922,N/A
ESH20,1/2/2020 13:10,3243,3243,3242.5,3242.5,-0.25,814,N/A
ESH20,1/2/2020 13:09,3242.75,3243.25,3242.75,3242.75,-0.25,917,N/A
ESH20,1/2/2020 13:08,3242.75,3243.25,3242.75,3243,0.25,1200,N/A
ESH20,1/2/2020 13:07,3243,3243.25,3242.5,3242.75,-0.25,1047,N/A
ESH20,1/2/2020 13:06,3242.25,3243,3242.25,3243,0.75,746,N/A
ESH20,1/2/2020 13:05,3242.75,3243,3242.25,3242.25,-0.5,724,N/A
ESH20,1/2/2020 13:04,3242.25,3243,3242.25,3242.75,0.5,2004,N/A
ESH20,1/2/2020 13:03,3242.25,3242.5,3242,3242.25,0,1020,N/A
ESH20,1/2/2020 13:02,3242,3242.5,3242,3242.25,0.5,415,N/A
ESH20,1/2/2020 13:01,3241.75,3242,3241.75,3241.75,-0.25,93,N/A
ESH20,1/2/2020 13:00,3242,3242,3241.5,3242,0,1437,N/A
ESH20,1/2/2020 12:59,3241.5,3242,3241.5,3242,0.5,580,N/A
