symbol,timestamp,tradingDay,open,high,low,close,volume
ESH20,2020-02-20T19:19:00-06:00,2/21/2020,3364,3364,3363,3363.75,194
ESH20,2020-02-20T19:20:00-06:00,2/21/2020,3363.75,3364.25,3363.5,3363.5,209
ESH20,2020-02-20T19:21:00-06:00,2/21/2020,3363.5,3363.5,3362.5,3362.5,263
ESH20,2020-02-20T19:22:00-06:00,2/21/2020,3362.5,3363.25,3362.5,3362.5,212
ESH20,2020-02-20T19:23:00-06:00,2/21/2020,3362.5,3363.25,3362.25,3362.5,233
ESH20,2020-02-20T19:24:00-06:00,2/21/2020,3362.25,3363,3362.25,3363,197
ESH20,2020-02-20T19:25:00-06:00,2/21/2020,3363,3363.25,3362.75,3362.75,200
ESH20,2020-02-20T19:26:00-06:00,2/21/2020,3362.75,3362.75,3362,3362.25,257
ESH20,2020-02-20T19:27:00-06:00,2/21/2020,3362.25,3362.75,3361.75,3362,524
ESH20,2020-02-20T19:28:00-06:00,2/21/2020,3362.25,3362.25,3361.25,3361.25,554
ESH20,2020-02-20T19:29:00-06:00,2/21/2020,3361.5,3362,3360.75,3361,604
ESH20,2020-02-20T19:30:00-06:00,2/21/2020,3361,3362.5,3360.75,3362.25,390
ESH20,2020-02-20T19:31:00-06:00,2/21/2020,3362.25,3362.5,3361.75,3362.5,228
ESH20,2020-02-20T19:32:00-06:00,2/21/2020,3362.5,3363.75,3362.5,3363.25,575
ESH20,2020-02-20T19:33:00-06:00,2/21/2020,3363.25,3364,3362.25,3362.5,312
ESH20,2020-02-20T19:34:00-06:00,2/21/2020,3362.5,3363.75,3362.5,3363.25,632
ESH20,2020-02-20T19:35:00-06:00,2/21/2020,3363.5,3364,3362.75,3363.25,327
ESH20,2020-02-20T19:36:00-06:00,2/21/2020,3363.5,3363.75,3363,3363.75,98
ESH20,2020-02-20T19:37:00-06:00,2/21/2020,3363.5,3364,3362.75,3363.25,188
ESH20,2020-02-20T19:38:00-06:00,2/21/2020,3363.25,3363.5,3362.75,3363.5,231
ESH20,2020-02-20T19:39:00-06:00,2/21/2020,3363.5,3364,3363,3363,169
ESH20,2020-02-20T19:40:00-06:00,2/21/2020,3363.25,3364,3363,3363.75,201
ESH20,2020-02-20T19:41:00-06:00,2/21/2020,3363.75,3364,3363.5,3363.75,87
ESH20,2020-02-20T19:42:00-06:00,2/21/2020,3363.75,3364,3362.75,3363,309
ESH20,2020-02-20T19:43:00-06:00,2/21/2020,3363,3363,3362,3362.25,388
ESH20,2020-02-20T19:44:00-06:00,2/21/2020,3362.25,3362.75,3362,3362.75,300
ESH20,2020-02-20T19:45:00-06:00,2/21/2020,3362.75,3362.75,3362,3362.5,150
ESH20,2020-02-20T19:46:00-06:00,2/21/2020,3362.5,3362.5,3362,3362.25,121
ESH20,2020-02-20T19:47:00-06:00,2/21/2020,3362,3362.25,3361.5,3361.5,267
ESH20,2020-02-20T19:48:00-06:00,2/21/2020,3361.5,3361.75,3361,3361.75,282
ESH20,2020-02-20T19:49:00-06:00,2/21/2020,3361.5,3361.5,3361,3361.25,214
ESH20,2020-02-20T19:50:00-06:00,2/21/2020,3361.25,3362,3361,3362,126
ESH20,2020-02-20T19:51:00-06:00,2/21/2020,3362,3362.75,3362,3362.75,231
ESH20,2020-02-20T19:52:00-06:00,2/21/2020,3362.75,3363,3360.25,3360.75,585
ESH20,2020-02-20T19:53:00-06:00,2/21/2020,3360.75,3360.75,3360,3360.5,305
ESH20,2020-02-20T19:54:00-06:00,2/21/2020,3360.5,3360.5,3359.75,3359.75,367
ESH20,2020-02-20T19:55:00-06:00,2/21/2020,3360,3360.75,3360,3360.5,213
ESH20,2020-02-20T19:56:00-06:00,2/21/2020,3360.25,3361,3360.25,3360.75,190
ESH20,2020-02-20T19:57:00-06:00,2/21/2020,3361,3361.75,3360.75,3361.25,212
ESH20,2020-02-20T19:58:00-06:00,2/21/2020,3361.25,3361.5,3361.25,3361.25,99
ESH20,2020-02-20T19:59:00-06:00,2/21/2020,3361.25,3361.25,3360.5,3360.5,96
ESH20,2020-02-20T20:00:00-06:00,2/21/2020,3360.75,3360.75,3360,3360.5,233
ESH20,2020-02-20T20:01:00-06:00,2/21/2020,3360.5,3360.5,3359.75,3359.75,595
ESH20,2020-02-20T20:02:00-06:00,2/21/2020,3359.75,3360.25,3359.25,3359.25,595
ESH20,2020-02-20T20:03:00-06:00,2/21/2020,3359.25,3359.5,3357.5,3357.75,1282
ESH20,2020-02-20T20:04:00-06:00,2/21/2020,3358,3358.75,3358,3358.25,312
ESH20,2020-02-20T20:05:00-06:00,2/21/2020,3358,3358,3357.5,3357.75,408
ESH20,2020-02-20T20:06:00-06:00,2/21/2020,3357.75,3358.75,3357.75,3358.75,198
ESH20,2020-02-20T20:07:00-06:00,2/21/2020,3359,3359,3357.75,3358.25,231
ESH20,2020-02-20T20:08:00-06:00,2/21/2020,3358.25,3358.5,3357.75,3358,237
ESH20,2020-02-20T20:09:00-06:00,2/21/2020,3358,3358,3357.5,3357.5,168
ESH20,2020-02-20T20:10:00-06:00,2/21/2020,3357.5,3358.75,3357.5,3358.25,441
ESH20,2020-02-20T20:11:00-06:00,2/21/2020,3358.5,3358.5,3357.75,3358.5,146
ESH20,2020-02-20T20:12:00-06:00,2/21/2020,3358.25,3359,3358.25,3358.75,152
ESH20,2020-02-20T20:13:00-06:00,2/21/2020,3358.75,3359.75,3358.5,3359.25,366
ESH20,2020-02-20T20:14:00-06:00,2/21/2020,3359.25,3359.5,3359,3359.25,199
ESH20,2020-02-20T20:15:00-06:00,2/21/2020,3359.25,3360.5,3359.25,3360.25,538
ESH20,2020-02-20T20:16:00-06:00,2/21/2020,3360,3360,3359.25,3359.25,253
ESH20,2020-02-20T20:17:00-06:00,2/21/2020,3359,3359,3358.5,3358.75,195
ESH20,2020-02-20T20:18:00-06:00,2/21/2020,3358.5,3359,3358,3358.5,238
ESH20,2020-02-20T20:19:00-06:00,2/21/2020,3358.5,3358.5,3356.5,3357.25,877
ESH20,2020-02-20T20:20:00-06:00,2/21/2020,3357.25,3358.25,3357,3358.25,289
ESH20,2020-02-20T20:21:00-06:00,2/21/2020,3358.25,3359,3358,3358.25,327
ESH20,2020-02-20T20:22:00-06:00,2/21/2020,3358.25,3358.75,3358.25,3358.75,203
ESH20,2020-02-20T20:23:00-06:00,2/21/2020,3358.5,3358.75,3358.25,3358.25,143
ESH20,2020-02-20T20:24:00-06:00,2/21/2020,3358.25,3358.25,3357,3357.25,414
ESH20,2020-02-20T20:25:00-06:00,2/21/2020,3357.25,3357.75,3356.75,3357,474
ESH20,2020-02-20T20:26:00-06:00,2/21/2020,3357,3357,3355,3355.75,1152
ESH20,2020-02-20T20:27:00-06:00,2/21/2020,3355.75,3356.25,3355.25,3356.25,621
ESH20,2020-02-20T20:28:00-06:00,2/21/2020,3356.25,3356.75,3355.5,3355.75,588
ESH20,2020-02-20T20:29:00-06:00,2/21/2020,3355.75,3355.75,3355,3355.25,335
ESH20,2020-02-20T20:30:00-06:00,2/21/2020,3355.25,3355.25,3354.75,3355.25,405
ESH20,2020-02-20T20:31:00-06:00,2/21/2020,3355.5,3356.25,3355.5,3356.25,517
ESH20,2020-02-20T20:32:00-06:00,2/21/2020,3356.25,3357,3355.5,3356.75,835
ESH20,2020-02-20T20:33:00-06:00,2/21/2020,3356.75,3356.75,3355.5,3356,276
ESH20,2020-02-20T20:34:00-06:00,2/21/2020,3355.75,3356.25,3355.75,3356,172
ESH20,2020-02-20T20:35:00-06:00,2/21/2020,3356,3356.75,3356,3356.5,361
ESH20,2020-02-20T20:36:00-06:00,2/21/2020,3356.25,3356.75,3356.25,3356.75,810
ESH20,2020-02-20T20:37:00-06:00,2/21/2020,3356.75,3356.75,3356.5,3356.5,180
ESH20,2020-02-20T20:38:00-06:00,2/21/2020,3356.75,3357,3356.5,3357,291
ESH20,2020-02-20T20:39:00-06:00,2/21/2020,3357,3358.25,3356.75,3357.75,584
ESH20,2020-02-20T20:40:00-06:00,2/21/2020,3358,3359,3357.5,3358.75,1226
ESH20,2020-02-20T20:41:00-06:00,2/21/2020,3358.75,3358.75,3357.75,3358.5,501
ESH20,2020-02-20T20:42:00-06:00,2/21/2020,3358.5,3358.75,3358,3358.25,368
ESH20,2020-02-20T20:43:00-06:00,2/21/2020,3358.5,3359,3358.25,3358.25,197
